overall_qual,log_gr_liv_area,log_garage_area,log_total_bsmt_sf,bsmt_qual,year_built,garage_finish,full_bath,log_mas_vnr_area,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood
5,7.02197642307216,6.175867270105761,7.022868086082641,3,1963,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
6,7.158513997329321,6.270988431858299,6.493753839851686,3,1977,2,1,5.003946305945459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
7,7.344072850573066,6.421622267806518,6.6293632534374485,4,2009,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
5,6.795705775173514,6.111467339502679,6.796823718274855,4,1968,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
8,7.413970290190444,6.214608098422191,7.31455283232408,4,2000,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
8,7.720017940432244,6.3561076606958915,7.098375638590786,5,2005,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,7.079184394609668,6.042632833682381,7.063903961472068,4,1992,3,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,6.962243464266207,6.35088571671474,6.963189985870238,3,1955,3,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,7.2813856635702825,6.274762021241939,7.282073658093465,3,1961,2,2,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5,6.795705775173514,5.820082930352362,6.796823718274855,3,1965,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
5,7.569411792450712,5.484796933490655,6.849066282633458,3,1937,1,2,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,7.596392304064196,0.0,6.86484777797086,3,1895,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,6.828712071641684,6.3578422665081,6.511745329644728,3,1949,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,7.8336002236611035,6.297109319933935,7.83399634170946,4,1981,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,7.324489979348532,5.993961427306569,6.675823221634848,4,1929,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,7.309212365692763,6.1779441140506,7.3098814858247865,4,1995,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
6,6.854354502255021,6.018593214496234,6.855408798609928,3,1952,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,7.4489161025442,6.717804695023691,7.441906728051625,5,2007,2,2,5.820082930352362,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6,7.040536390215956,5.953243334287785,5.081404364984463,4,1958,2,1,4.418840607796598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5,7.29641326877392,5.820082930352362,6.630683385642372,3,1977,2,2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,7.519692404116539,6.304448802421981,7.520234556474628,4,1977,2,2,6.175867270105761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,7.124478262493424,6.270988431858299,7.1252830915107115,3,1973,1,1,5.771441123130016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5,6.897704943128636,5.953243334287785,6.898714534329988,4,1994,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,7.135687347028144,5.6240175061873385,7.136483208590247,3,1965,3,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10,7.638198244285779,6.7464121285733745,7.638679823876112,5,2006,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,7.01211529430638,6.401917196727186,7.001245622069476,4,1978,3,1,4.653960350157523,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5,7.492760300922379,5.8664680569332965,6.957497370876951,3,1954,1,2,5.817111159963204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,6.946975992135418,5.953243334287785,6.947937068614969,3,1965,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
8,7.5352967024440884,6.668228248417403,6.411818267709897,3,1935,3,1,3.713572066704308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5,7.38025578842646,6.493753839851686,6.892641641172089,3,1941,1,2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,7.31455283232408,5.602118820879701,6.655440350367647,4,1931,2,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,6.968850378341948,5.638354669333745,6.963189985870238,3,1954,2,1,4.709530201312334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,7.3938782901077555,6.163314804034641,6.639875833826536,4,2003,2,2,4.672828834461906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6,7.329093736246592,6.089044875446846,6.6293632534374485,4,2000,1,2,6.2422232654551655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4,7.591357046698551,6.3578422665081,7.023758954738443,3,1928,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,7.931644021454311,6.336825731146441,7.239214973779806,4,1978,2,3,5.220355825078324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,6.9957661563048505,0.0,6.304448802421981,3,1970,0,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,7.362010551259734,5.993961427306569,5.37989735354046,3,1951,1,1,6.259581464064923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,7.20934025660291,5.703782474656201,6.498282149476434,3,1969,3,1,4.969813299576001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
7,7.090076835776092,6.175867270105761,6.398594934535208,4,2004,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
5,6.841615476477592,5.484796933490655,6.842683282238422,3,1954,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,6.946975992135418,5.683579767338681,6.947937068614969,3,1953,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,7.400009517162692,5.958424693029782,6.821107472256465,4,1996,3,2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,7.727535110475448,6.51025834052315,7.050122520269059,4,1999,3,2,5.855071922202427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,7.867105500316739,6.311734809152915,7.077498053569231,4,2007,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
7,7.301822342137932,6.53813982376767,7.259116128097101,4,1977,2,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,7.461640392208575,5.420534999272286,6.842683282238422,3,1920,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,7.231287004327616,5.860786223465865,7.232010331664759,3,1955,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,7.02108396428914,0.0,7.02197642307216,4,2007,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7,7.001245622069476,5.37989735354046,6.2766434893416445,4,1930,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,7.443078374348516,5.942799375126701,6.884486652042782,4,2004,1,2,4.770684624465665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9,7.496652438168283,6.738152494595957,7.497207223203318,5,2006,3,2,6.236369590203704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,7.317212408359839,6.089044875446846,7.217443431696533,4,2005,3,2,4.983606621708336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,7.318539548567902,6.35088571671474,7.319202458767849,4,2009,2,1,4.574710978503383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,7.616775808698373,6.668228248417403,7.518064181233078,5,1996,3,3,6.505784060128229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6,7.085064293952548,6.29156913955832,6.486160788944089,3,1959,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,7.443663683115591,5.942799375126701,6.878326468291325,4,2004,1,2,3.9318256327243257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,7.38770923908104,6.727431724850855,7.388327859577107,4,2005,2,2,5.43372200355424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6,6.643789733147672,6.089044875446846,6.645090969505644,3,1930,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,6.77078942390898,5.777652323222656,6.771935555839602,3,1924,1,1,4.189654742026425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,6.253828811575473,5.484796933490655,6.255750041753367,3,1927,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,7.729295674310482,6.175867270105761,7.00850518208228,3,1960,1,2,5.8916442118257715,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5,7.3783837129967145,0.0,6.842683282238422,3,1925,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,7.116394144093465,6.175867270105761,6.424869023905388,3,1910,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,7.711548979629146,7.062191632286556,7.7039102096163115,5,2008,3,2,6.618738983517219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
5,7.255591274253665,6.580639137284949,6.776506992372183,3,1915,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,6.761572768804055,6.3578422665081,6.762729506931879,3,1971,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,7.080867896690782,5.973809611869261,7.081708586105575,5,1997,2,2,5.288267030694535,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
9,7.418180822726788,6.3561076606958915,7.418780882750794,5,2006,2,2,6.35088571671474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,7.090076835776092,6.320768294250582,7.0707241072602764,4,2003,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
5,6.833031732786201,5.53338948872752,6.834108738813838,4,1956,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,7.197435354096591,6.220590170099739,7.161622002939187,4,1969,2,2,4.859812404361672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,7.090076835776092,6.175867270105761,6.398594934535208,4,2004,2,2,4.795790545596741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6,7.2633296174768365,6.248042874508429,7.2640301428995295,3,1969,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,7.596894438144544,6.411818267709897,6.7580945044277305,4,1996,2,2,5.541263545158426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,7.3395376954076745,6.206575926724928,6.626717749249025,4,1994,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
5,7.336285660021297,5.993961427306569,0.0,0,1979,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5,7.049254841255837,6.184148890937483,7.050122520269059,3,1964,2,1,4.465908118654584,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,7.048386408721883,6.184148890937483,7.040536390215956,4,2006,3,2,3.4339872044851463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
6,7.037027614686276,6.175867270105761,7.037905963447182,3,1960,2,1,4.007333185232471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
5,6.97914527506881,5.983936280687191,6.796823718274855,3,1956,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,7.353081920515432,6.322565239927284,7.3537223303996315,5,2005,3,2,5.5093883366279774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,7.9105906122564775,6.587550014824796,7.202661196523238,4,1995,2,2,5.986452005284438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
9,7.5411524551363085,6.508769136971682,7.541683099882111,5,2004,3,2,5.6937321388027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4,6.405228458030842,0.0,6.270988431858299,3,1920,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,7.421177528595393,6.311734809152915,7.2633296174768365,4,1976,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
3,6.680854678790215,0.0,5.5053315359323625,2,1900,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,7.581209826196346,6.329720905522696,6.690842277418564,5,2001,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,7.084226422097916,6.218600119691729,7.050989447068045,4,1972,3,2,4.976733742420574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,7.231287004327616,6.19644412779452,6.513230110912307,4,2000,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
6,7.8343923029104365,5.37989735354046,6.5722825426940075,3,1916,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,7.237059026124737,6.311734809152915,7.441906728051625,4,1957,1,1,6.805722553416985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,7.3938782901077555,6.163314804034641,6.639875833826536,4,2003,2,2,4.672828834461906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5,7.351158226430694,5.993961427306569,6.53813982376767,3,1939,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,7.259819610363186,5.659482215759621,6.88653164253051,3,1960,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,7.360739903058278,5.8888779583328805,6.983789965258135,3,1930,1,2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,7.017506142941256,6.089044875446846,7.018401799069201,3,1962,1,1,5.568344503761097,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,6.492239835020471,0.0,0.0,0,1947,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
6,7.442492722794441,6.173786103901937,7.039660349862076,3,1978,3,2,4.976733742420574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5,7.290292882446597,6.270988431858299,7.2909747781429814,3,1959,3,1,4.890349128221754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
9,7.401231264413015,6.206575926724928,7.387090235656757,4,2000,3,2,5.564520407322694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5,7.450660796211539,6.440946540632921,6.8966943316227125,3,1960,1,2,5.62040086571715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6,7.475339236566737,6.154858094016418,6.834108738813838,4,1997,2,2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,6.903747257584598,0.0,6.904750769961838,3,1940,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,7.091742115095153,5.720311776607412,7.0925737159746784,3,1956,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
