id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,log_saleprice,log_gr_liv_area,log_garage_area,log_total_bsmt_sf,log_mas_vnr_area
1044,527451290,160,RM,21.0,1680,Pave,NA,0,Lvl,0,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,484.0,GasA,3,Y,0,483,504,0,987,0.0,0.0,1,1,2,1,3,4,0,0,0,Detchd,1971.0,1,1.0,265.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,7,2008,COD,85400,11.355101379776661,6.894670039433482,5.579729825986222,6.182084906716632,5.4510384535657
2752,906380150,20,RL,64.0,7488,Pave,NA,1,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1209.0,GasA,5,Y,0,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,0,0,0,Attchd,2005.0,2,2.0,633.0,3,3,2,105,58,0,0,0,0,0,0,NA,0,2,2006,WD ,183600,12.120514757168527,7.0967213784947605,6.450470422144176,7.097548850614793,0.0
807,906226060,70,RL,120.0,26400,Pave,NA,0,Bnk,0,FR2,0,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,1.0,GasA,5,Y,0,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,3,1,3,Attchd,1900.0,1,2.0,577.0,3,3,1,0,0,0,0,0,0,0,0,NA,0,6,2009,WD ,131000,11.782952602183288,7.60887062919126,6.3578422665081,0.0,0.0
1177,533236070,160,FV,24.0,2645,Pave,Pave,0,Lvl,0,Inside,0,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,961.0,GasA,5,Y,0,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,0,0,0,Detchd,2000.0,1,2.0,481.0,3,3,2,169,0,0,0,0,0,0,0,NA,0,12,2008,ConLD,200000,12.206072645530174,7.382124365737512,6.175867270105761,6.8679744089702925,6.124683390894205
1480,907418040,20,RL,74.0,9627,Pave,NA,0,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1352.0,GasA,5,Y,0,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,0,0,0,Attchd,2007.0,2,2.0,611.0,3,3,2,0,50,0,0,0,0,0,0,NA,0,6,2008,WD ,193000,12.170445467887022,7.215975002651466,6.415096959171596,7.20934025660291,0.0
324,923202105,20,RL,93.0,10114,Pave,NA,0,Lvl,0,Inside,0,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1431.0,GasA,5,Y,0,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,0,0,0,Attchd,2004.0,2,2.0,625.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,3,2010,WD ,173500,12.063932878369052,7.265429723253953,6.437751649736401,7.266128779556451,0.0
1311,902301140,70,RM,34.0,4571,Pave,Grvl,0,Lvl,0,Inside,0,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,625.0,GasA,2,N,0,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,0,0,0,Detchd,1916.0,1,3.0,514.0,2,2,2,0,0,96,0,0,0,0,0,NA,0,5,2008,COD,98000,11.49272275765271,7.203405521083095,6.2422232654551655,6.437751649736401,0.0
770,905101490,20,RL,80.0,8816,Pave,NA,0,Lvl,0,Corner,0,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,1122.0,GasA,3,Y,0,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,0,0,0,Detchd,1963.0,1,2.0,481.0,3,3,2,0,80,0,0,0,0,0,3,NA,0,6,2009,WD ,139000,11.842229212112828,7.02197642307216,6.175867270105761,7.022868086082641,0.0
2063,905107140,20,RL,71.0,8197,Pave,NA,0,Lvl,0,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,660.0,661.0,GasA,5,Y,0,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,0,1,3,Attchd,1977.0,2,2.0,529.0,3,3,2,138,0,0,0,0,0,0,3,NA,0,4,2007,WD ,143500,11.874090314181814,7.158513997329321,6.270988431858299,6.493753839851686,5.003946305945459
69,528458070,60,FV,72.0,8640,Pave,NA,0,Lvl,0,Inside,0,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,757.0,GasA,5,Y,0,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,0,0,0,Attchd,2009.0,1,2.0,615.0,3,3,2,169,45,0,0,0,0,0,0,NA,0,6,2010,Con,215200,12.279323107269766,7.344072850573066,6.421622267806518,6.6293632534374485,0.0
2062,905106150,20,RL,109.0,8724,Pave,NA,0,Lvl,0,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,0.0,402.0,895.0,GasA,4,Y,0,894,0,0,894,0.0,0.0,1,0,3,1,3,5,0,1,1,Attchd,1968.0,3,2.0,451.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,5,2007,WD ,129000,11.76756768334381,6.795705775173514,6.111467339502679,6.796823718274855,0.0
351,527131030,120,RL,40.0,5664,Pave,NA,1,Lvl,0,Inside,0,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,1502.0,GasA,5,Y,0,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,0,1,5,Attchd,2000.0,3,2.0,500.0,3,3,2,212,59,0,0,0,0,0,0,NA,0,10,2009,WD ,278000,12.535376392672774,7.413970290190444,6.214608098422191,7.31455283232408,0.0
2393,528142010,60,RL,103.0,12867,Pave,NA,1,Lvl,0,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1209.0,1210.0,GasA,5,Y,0,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,0,1,4,Attchd,2005.0,3,2.0,576.0,3,3,2,243,142,0,0,0,0,0,0,NA,0,7,2006,New,344133,12.748783489541202,7.720017940432244,6.3561076606958915,7.098375638590786,0.0
12,527165230,20,RL,69.05520046484602,7980,Pave,NA,1,Lvl,0,Inside,0,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1169.0,GasA,5,Y,0,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,0,0,0,Attchd,1992.0,3,2.0,421.0,3,3,2,483,21,0,0,0,0,0,4,Shed,500,3,2010,WD ,185000,12.128111104060462,7.079184394609668,6.042632833682381,7.063903961472068,0.0
2339,527250040,190,RL,100.0,34650,Pave,NA,0,Bnk,0,Inside,0,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1057.0,GasA,3,N,0,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,0,0,0,Attchd,1955.0,3,2.0,573.0,3,3,2,264,0,0,0,0,0,0,0,NA,0,1,2006,WD ,145000,11.884489021402711,6.962243464266207,6.35088571671474,6.963189985870238,0.0
624,535104120,20,RL,92.0,10573,Pave,NA,1,Lvl,0,Corner,0,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1454.0,GasA,5,Y,0,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,0,1,3,Attchd,1961.0,2,2.0,531.0,3,3,2,0,49,0,0,288,0,0,4,NA,0,4,2009,WD ,187500,12.141534124392603,7.2813856635702825,6.274762021241939,7.282073658093465,1.3862943611198906
86,532376160,20,RL,65.0,8450,Pave,NA,0,Lvl,0,Inside,0,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,117.0,224.0,895.0,GasA,5,Y,0,894,0,0,894,1.0,0.0,1,0,3,1,3,5,0,1,4,Detchd,1973.0,1,1.0,337.0,3,3,2,416,144,0,0,0,0,0,3,NA,0,4,2010,WD ,138500,11.83862560460953,6.795705775173514,5.820082930352362,6.796823718274855,0.0
1534,909277040,50,RL,69.05520046484602,11700,Pave,Grvl,1,HLS,0,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,0.0,336.0,943.0,GasA,5,Y,0,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,2,1,4,Detchd,1937.0,1,1.0,241.0,3,3,2,0,40,0,0,0,0,0,0,NA,0,7,2008,WD ,198000,12.196022309676673,7.569411792450712,5.484796933490655,6.849066282633458,0.0
2243,911103060,190,C (all),75.0,8250,Pave,NA,0,Lvl,0,Inside,0,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,0.0,957.0,958.0,GasA,2,N,0,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,0,0,0,NA,0.0,0,0.0,1.0,0,0,0,0,0,133,0,0,0,0,0,NA,0,6,2007,WD ,119600,11.691908120498669,7.596392304064196,0.0,6.86484777797086,0.0
1957,535450190,50,RL,60.0,8064,Pave,NA,0,Lvl,0,Corner,0,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,0.0,672.0,673.0,GasA,5,Y,0,672,252,0,924,0.0,0.0,1,0,3,1,3,6,0,1,1,Detchd,2003.0,1,2.0,577.0,3,3,2,0,0,0,0,0,0,0,3,Shed,2000,7,2007,WD ,122900,11.719126295554126,6.828712071641684,6.3578422665081,6.511745329644728,0.0
380,527355150,20,RL,80.0,9600,Pave,NA,0,Lvl,0,Inside,0,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2525.0,GasA,3,Y,0,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,0,1,4,Attchd,1981.0,3,2.0,543.0,3,3,2,474,120,0,0,0,0,0,3,NA,0,7,2009,WD ,278000,12.535376392672774,7.8336002236611035,6.297109319933935,7.83399634170946,0.0
2860,909276010,70,RL,69.05520046484602,11435,Pave,NA,1,HLS,0,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,792.0,793.0,GasA,2,Y,0,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,0,2,4,Detchd,1931.0,1,2.0,401.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,6,2006,WD ,230000,12.345834587905333,7.324489979348532,5.993961427306569,6.675823221634848,0.0
2517,533250130,120,RL,30.0,9549,Pave,NA,1,Lvl,0,CulDSac,0,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,1057.0,0.0,1495.0,GasA,5,Y,0,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,0,1,4,Attchd,1995.0,3,2.0,482.0,3,3,2,0,30,0,0,216,0,0,0,NA,0,4,2006,WD ,270000,12.506177237980511,7.309212365692763,6.1779441140506,7.3098814858247865,0.0
1933,535302070,20,RL,60.0,10950,Pave,NA,0,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,0.0,507.0,949.0,GasA,3,Y,0,948,0,0,948,0.0,0.0,1,0,2,1,3,5,0,0,0,Detchd,1952.0,1,2.0,411.0,3,3,0,0,48,0,0,0,0,0,0,NA,0,4,2007,WD ,125000,11.736069016284437,6.854354502255021,6.018593214496234,6.855408798609928,0.0
820,906340110,20,RL,79.0,10637,Pave,NA,0,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0.0,417.0,1706.0,GasA,5,Y,0,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,0,1,4,Attchd,2007.0,2,3.0,827.0,3,3,2,208,44,0,0,0,0,0,0,NA,0,9,2009,WD ,297000,12.601487417784837,7.4489161025442,6.717804695023691,7.441906728051625,5.820082930352362
675,535426150,20,RL,80.0,9000,Pave,NA,1,HLS,0,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,0.0,160.0,161.0,GasA,2,Y,0,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,0,1,4,Basment,1958.0,2,1.0,385.0,3,3,2,0,28,64,0,0,0,0,0,NA,0,4,2009,WD ,113500,11.639558115903595,7.040536390215956,5.953243334287785,5.081404364984463,4.418840607796598
2910,923225240,160,RM,41.0,2665,Pave,NA,0,Lvl,0,Inside,0,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,173.0,36.0,758.0,GasA,5,Y,0,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,0,1,3,Attchd,1977.0,2,1.0,337.0,3,3,2,104,26,0,0,0,0,0,0,NA,0,7,2006,WD ,127000,11.751942365440728,7.29641326877392,5.820082930352362,6.630683385642372,0.0
21,527358140,20,RL,105.0,11751,Pave,NA,1,Lvl,0,Inside,0,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1845.0,GasA,5,Y,0,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,0,1,3,Attchd,1977.0,2,2.0,547.0,3,3,2,0,122,0,0,0,0,0,3,NA,0,1,2010,COD,190000,12.154779351142624,7.519692404116539,6.304448802421981,7.520234556474628,6.175867270105761
1873,534177210,20,RL,80.0,9600,Pave,NA,0,Lvl,0,Inside,0,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,0.0,326.0,1243.0,GasA,2,Y,0,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,0,1,3,Attchd,1973.0,1,2.0,529.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,9,2007,WD ,175500,12.075394321888057,7.124478262493424,6.270988431858299,7.1252830915107115,5.771441123130016
2125,907135050,20,RL,60.0,8428,Pave,NA,2,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,0.0,570.0,991.0,GasA,5,Y,0,990,0,0,990,1.0,0.0,1,0,3,1,3,5,0,0,0,Detchd,1995.0,1,1.0,385.0,3,3,2,256,0,0,0,0,0,0,0,NA,0,7,2007,WD ,146000,11.891361900690473,6.897704943128636,5.953243334287785,6.898714534329988,0.0
1489,908102260,20,RL,75.0,9937,Pave,NA,0,Lvl,0,Inside,0,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,290.0,136.0,1257.0,GasA,4,Y,0,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,0,0,0,Attchd,1965.0,3,1.0,277.0,3,3,2,736,68,0,0,0,0,0,0,NA,0,6,2008,WD ,147500,11.901583454762012,7.135687347028144,5.6240175061873385,7.136483208590247,0.0
2383,528110050,20,RL,107.0,13891,Pave,NA,0,Lvl,0,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,4,6,1386.0,1,0.0,690.0,2077.0,GasA,5,Y,0,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,0,1,4,Attchd,2006.0,3,3.0,851.0,3,3,2,216,229,0,0,0,0,0,0,NA,0,9,2006,New,465000,13.049792684569493,7.638198244285779,6.7464121285733745,7.638679823876112,0.0
983,923275040,85,RL,69.05520046484602,9101,Pave,NA,1,Lvl,0,Corner,0,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,1,0.0,0.0,1098.0,GasA,5,Y,0,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,0,1,3,Attchd,1978.0,3,2.0,603.0,3,3,2,303,30,0,0,0,0,0,0,NA,0,7,2009,WD ,165500,12.016726473799254,7.01211529430638,6.401917196727186,7.001245622069476,4.653960350157523
1325,902406090,50,RM,81.0,12150,Pave,Grvl,0,Lvl,0,Inside,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,1050.0,1051.0,GasA,5,N,2,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,0,0,0,Attchd,1954.0,1,1.0,353.0,2,3,2,0,0,0,0,0,0,0,0,NA,0,11,2008,WD ,131500,11.786762130599957,7.492760300922379,5.8664680569332965,6.957497370876951,5.817111159963204
1378,905102170,20,RL,70.0,11200,Pave,NA,0,Lvl,0,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1041.0,GasA,5,Y,0,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,0,0,0,Detchd,1965.0,1,1.0,385.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,2,2008,WD ,129500,11.771436160121729,6.946975992135418,5.953243334287785,6.947937068614969,0.0
